instant,cnt
14942,892
14943,611
14944,409
14945,349
14946,229
14947,122
14948,58
14949,17
14950,10
14951,5
14952,5
14953,55
14954,170
14955,534
14956,790
14957,355
14958,190
14959,242
14960,289
14961,335
14962,297
14963,291
14964,457
14965,976
14966,899
14967,603
14968,417
14969,274
14970,287
14971,154
14972,66
14973,49
14974,14
14975,12
14976,10
14977,49
14978,165
14979,503
14980,757
14981,383
14982,224
14983,321
14984,389
14985,421
14986,412
14987,423
14988,567
14989,846
14990,805
14991,588
14992,368
14993,311
14994,294
14995,185
14996,171
14997,124
14998,83
14999,44
15000,14
15001,16
15002,40
15003,77
15004,217
15005,377
15006,474
15007,626
15008,688
15009,707
15010,654
15011,750
15012,680
15013,646
15014,598
15015,407
15016,325
15017,260
15018,238
15019,170
15020,179
15021,141
15022,94
15023,53
15024,9
15025,5
15026,15
15027,56
15028,174
15029,275
15030,489
15031,570
15032,776
15033,701
15034,665
15035,639
15036,690
15037,723
15038,540
15039,413
15040,252
15041,195
15042,138
15043,99
15044,63
15045,17
15046,7
15047,4
15048,7
15049,36
15050,168
15051,530
15052,750
15053,328
15054,197
15055,238
15056,342
15057,327
15058,302
15059,299
15060,516
15061,898
15062,853
15063,590
15064,432
15065,255
15066,171
15067,93
15068,63
15069,12
15070,13
15071,4
15072,8
15073,46
15074,193
15075,556
15076,805
15077,409
15078,169
15079,217
15080,301
15081,304
15082,292
15083,302
15084,495
15085,967
15086,822
15087,538
15088,424
15089,296
15090,187
15091,97
15092,39
15093,28
15094,16
15095,9
15096,13
15097,35
15098,182
15099,532
15100,838
15101,333
15102,184
15103,226
15104,316
15105,340
15106,277
15107,300
15108,468
15109,953
15110,884
15111,627
15112,434
15113,360
15114,214
15115,114
15116,64
15117,20
15118,15
15119,7
15120,8
15121,66
15122,169
15123,558
15124,794
15125,335
15126,207
15127,294
15128,335
15129,326
15130,258
15131,296
15132,472
15133,905
15134,899
15135,559
15136,457
15137,253
15138,46
15139,44
15140,17
15141,13
15142,10
15143,7
15144,11
15145,38
15146,138
15147,394
15148,705
15149,426
15150,245
15151,361
15152,380
15153,410
15154,399
15155,392
15156,502
15157,808
15158,666
15159,507
15160,335
15161,236
15162,219
15163,189
15164,149
15165,100
15166,91
15167,28
15168,13
15169,14
15170,36
15171,72
15172,210
15173,332
15174,472
15175,663
15176,681
15177,685
15178,749
15179,726
15180,721
15181,711
15182,594
15183,470
15184,315
15185,292
15186,221
15187,196
15188,147
15189,116
15190,92
15191,57
15192,6
15193,9
15194,21
15195,56
15196,143
15197,285
15198,479
15199,590
15200,679
15201,593
15202,611
15203,649
15204,648
15205,574
15206,400
15207,256
15208,193
15209,123
15210,90
15211,56
15212,44
15213,17
15214,11
15215,6
15216,9
15217,35
15218,154
15219,483
15220,784
15221,340
15222,179
15223,272
15224,322
15225,304
15226,243
15227,328
15228,458
15229,856
15230,613
15231,516
15232,262
15233,218
15234,207
15235,105
15236,31
15237,10
15238,1
15239,4
15240,10
15241,43
15242,179
15243,260
15244,134
15245,86
15246,44
15247,99
15248,104
15249,154
15250,163
15251,209
15252,374
15253,715
15254,687
15255,395
15256,306
15257,289
15258,240
15259,98
15260,52
15261,19
15262,9
15263,7
15264,11
15265,34
15266,177
15267,515
15268,809
15269,362
15270,175
15271,230
15272,358
15273,279
15274,250
15275,319
15276,478
15277,917
15278,810
15279,593
15280,497
15281,209
15282,241
15283,220
15284,76
15285,25
15286,13
15287,11
15288,10
15289,39
15290,133
15291,391
15292,738
15293,359
15294,177
15295,214
15296,288
15297,294
15298,267
15299,325
15300,497
15301,901
15302,887
15303,534
15304,441
15305,320
15306,231
15307,154
15308,102
15309,46
15310,11
15311,16
15312,11
15313,41
15314,137
15315,428
15316,785
15317,383
15318,260
15319,304
15320,468
15321,424
15322,400
15323,470
15324,634
15325,900
15326,761
15327,500
15328,372
15329,266
15330,263
15331,171
15332,191
15333,141
15334,75
15335,55
15336,10
15337,9
15338,29
15339,83
15340,206
15341,394
15342,539
15343,647
15344,743
15345,709
15346,575
15347,619
15348,658
15349,610
15350,495
15351,340
15352,246
15353,214
15354,184
15355,178
15356,126
15357,108
15358,73
15359,21
15360,10
15361,9
15362,22
15363,34
15364,61
15365,85
15366,184
15367,335
15368,392
15369,319
15370,314
15371,305
15372,332
15373,156
15374,105
15375,113
15376,115
15377,112
15378,78
15379,80
15380,50
15381,36
15382,14
15383,9
15384,6
15385,19
15386,58
15387,153
15388,397
15389,331
15390,297
15391,307
15392,340
15393,404
15394,419
15395,369
15396,376
15397,496
15398,455
15399,370
15400,226
15401,150
15402,106
15403,68
15404,30
15405,12
15406,7
15407,3
15408,6
15409,18
15410,142
15411,361
15412,713
15413,381
15414,163
15415,192
15416,259
15417,237
15418,244
15419,254
15420,424
15421,806
15422,784
15423,514
15424,360
15425,224
15426,161
15427,83
15428,32
15429,7
15430,7
15431,5
15432,5
15433,39
15434,174
15435,507
15436,839
15437,366
15438,216
15439,291
15440,390
15441,297
15442,270
15443,318
15444,565
15445,948
15446,844
15447,565
15448,391
15449,268
15450,196
15451,135
15452,41
15453,10
15454,10
15455,2
15456,9
15457,42
15458,159
15459,478
15460,797
15461,354
15462,203
15463,251
15464,326
15465,291
15466,348
15467,460
15468,481
15469,827
15470,692
15471,743
15472,414
15473,259
15474,176
15475,185
15476,67
15477,36
15478,15
15479,5
15480,7
15481,34
15482,142
15483,392
15484,745
15485,399
15486,274
15487,312
15488,386
15489,381
15490,370
15491,454
15492,519
15493,837
15494,642
15495,492
15496,307
15497,189
15498,159
15499,100
15500,249
15501,146
15502,66
15503,15
15504,10
15505,11
15506,28
15507,69
15508,173
15509,266
15510,347
15511,527
15512,573
15513,670
15514,597
15515,615
15516,637
15517,528
15518,473
15519,331
15520,254
15521,203
15522,188
15523,124
15524,110
15525,111
15526,65
15527,27
15528,11
15529,10
15530,23
15531,50
15532,131
15533,222
15534,428
15535,494
15536,561
15537,618
15538,617
15539,568
15540,580
15541,539
15542,453
15543,336
15544,246
15545,195
15546,124
15547,104
15548,47
15549,28
15550,5
15551,3
15552,9
15553,39
15554,146
15555,476
15556,736
15557,358
15558,167
15559,262
15560,283
15561,146
15562,184
15563,259
15564,447
15565,766
15566,592
15567,239
15568,255
15569,205
15570,125
15571,80
15572,47
15573,12
15574,2
15575,1
15576,6
15577,51
15578,171
15579,525
15580,835
15581,354
15582,221
15583,227
15584,324
15585,327
15586,308
15587,346
15588,446
15589,943
15590,838
15591,531
15592,432
15593,195
15594,180
15595,198
15596,48
15597,16
15598,15
15599,6
15600,3
15601,40
15602,177
15603,464
15604,817
15605,382
15606,228
15607,234
15608,332
15609,310
15610,270
15611,301
15612,466
15613,888
15614,884
15615,516
15616,414
15617,328
15618,214
15619,98
15620,56
15621,13
15622,13
15623,4
15624,4
15625,41
15626,152
15627,508
15628,834
15629,387
15630,217
15631,268
15632,376
15633,331
15634,284
15635,352
15636,449
15637,890
15638,788
15639,513
15640,387
15641,283
15642,229
15643,117
15644,56
15645,16
15646,10
15647,5
15648,6
15649,36
15650,130
15651,154
15652,467
15653,389
15654,224
15655,252
15656,332
15657,375
15658,365
15659,395
15660,564
15661,424
15662,233
15663,232
15664,229
15665,206
15666,190
15667,130
15668,122
15669,94
15670,77
15671,28
15672,17
15673,12
15674,30
15675,64
15676,192
15677,363
15678,423
15679,612
15680,703
15681,714
15682,711
15683,711
15684,691
15685,731
15686,521
15687,345
15688,258
15689,295
15690,201
15691,162
15692,153
15693,116
15694,131
15695,40
15696,21
15697,9
15698,25
15699,55
15700,142
15701,268
15702,443
15703,547
15704,675
15705,626
15706,640
15707,623
15708,591
15709,491
15710,413
15711,265
15712,194
15713,165
15714,112
15715,65
15716,30
15717,10
15718,4
15719,5
15720,6
15721,45
15722,143
15723,451
15724,728
15725,360
15726,212
15727,211
15728,283
15729,314
15730,281
15731,295
15732,523
15733,922
15734,786
15735,514
15736,403
15737,173
15738,182
15739,162
15740,36
15741,16
15742,6
15743,0
15744,6
15745,49
15746,157
15747,531
15748,761
15749,334
15750,221
15751,252
15752,377
15753,302
15754,296
15755,346
15756,541
15757,938
15758,826
15759,481
15760,379
15761,295
15762,194
15763,111
15764,46
15765,27
15766,6
15767,3
15768,5
15769,53
15770,173
15771,526
15772,801
15773,373
15774,171
15775,236
15776,315
15777,306
15778,301
15779,308
15780,532
15781,963
15782,858
15783,572
15784,440
15785,312
15786,237
15787,123
15788,75
15789,28
15790,18
15791,7
15792,4
15793,54
15794,170
15795,495
15796,779
15797,343
15798,225
15799,238
15800,319
15801,313
15802,284
15803,304
15804,498
15805,886
15806,809
15807,542
15808,347
15809,271
15810,207
15811,134
15812,71
15813,35
15814,18
15815,12
15816,4
15817,49
15818,144
15819,421
15820,734
15821,403
15822,197
15823,290
15824,392
15825,337
15826,350
15827,447
15828,582
15829,817
15830,665
15831,471
15832,311
15833,292
15834,217
15835,178
15836,142
15837,145
15838,89
15839,25
15840,12
15841,8
15842,30
15843,85
15844,212
15845,328
15846,479
15847,585
15848,667
15849,759
15850,749
15851,711
15852,612
15853,618
15854,456
15855,300
15856,295
15857,208
15858,156
15859,166
15860,116
15861,132
15862,115
15863,78
15864,19
15865,27
15866,38
15867,64
15868,172
15869,329
15870,433
15871,461
15872,490
15873,390
15874,401
15875,300
15876,292
15877,224
15878,153
15879,53
15880,54
15881,45
15882,36
15883,13
15884,21
15885,116
15886,126
15887,124
15888,98
15889,124
15890,142
15891,114
15892,81
15893,63
15894,65
15895,38
15896,15
15897,7
15898,6
15899,2
15900,5
15901,23
15902,116
15903,337
15904,621
15905,297
15906,168
15907,189
15908,240
15909,212
15910,223
15911,229
15912,423
15913,723
15914,583
15915,409
15916,267
15917,191
15918,165
15919,100
15920,59
15921,29
15922,19
15923,15
15924,9
15925,40
15926,148
15927,420
15928,680
15929,330
15930,145
15931,169
15932,220
15933,247
15934,184
15935,213
15936,343
15937,688
15938,678
15939,451
15940,295
15941,266
15942,202
15943,120
15944,50
15945,23
15946,9
15947,2
15948,6
15949,25
15950,121
15951,357
15952,687
15953,382
15954,203
15955,220
15956,291
15957,293
15958,261
15959,305
15960,420
15961,637
15962,521
15963,373
15964,221
15965,156
15966,149
15967,119
15968,108
15969,89
15970,46
15971,28
15972,16
15973,9
15974,20
15975,59
15976,142
15977,219
15978,328
15979,340
15980,394
15981,449
15982,455
15983,448
15984,400
15985,410
15986,297
15987,239
15988,181
15989,165
15990,145
15991,147
15992,101
15993,164
15994,36
15995,10
15996,8
15997,4
15998,15
15999,49
16000,149
16001,217
16002,360
16003,444
16004,503
16005,492
16006,508
16007,448
16008,434
16009,327
16010,237
16011,227
16012,141
16013,87
16014,79
16015,52
16016,23
16017,7
16018,5
16019,4
16020,16
16021,39
16022,139
16023,461
16024,648
16025,257
16026,142
16027,150
16028,244
16029,222
16030,195
16031,230
16032,360
16033,638
16034,542
16035,372
16036,241
16037,152
16038,115
16039,52
16040,18
16041,8
16042,1
16043,3
16044,6
16045,40
16046,149
16047,387
16048,588
16049,363
16050,230
16051,215
16052,247
16053,278
16054,239
16055,272
16056,402
16057,627
16058,497
16059,371
16060,228
16061,151
16062,153
16063,205
16064,283
16065,92
16066,74
16067,11
16068,9
16069,27
16070,118
16071,319
16072,601
16073,368
16074,178
16075,147
16076,212
16077,181
16078,161
16079,198
16080,273
16081,517
16082,465
16083,319
16084,256
16085,126
16086,59
16087,39
16088,14
16089,12
16090,6
16091,9
16092,35
16093,124
16094,423
16095,668
16096,275
16097,161
16098,171
16099,234
16100,227
16101,181
16102,232
16103,338
16104,591
16105,506
16106,372
16107,244
16108,233
16109,161
16110,87
16111,55
16112,20
16113,12
16114,9
16115,14
16116,27
16117,130
16118,341
16119,693
16120,327
16121,197
16122,250
16123,261
16124,298
16125,273
16126,355
16127,434
16128,654
16129,496
16130,361
16131,255
16132,198
16133,162
16134,161
16135,121
16136,75
16137,43
16138,19
16139,5
16140,9
16141,15
16142,70
16143,145
16144,259
16145,350
16146,466
16147,606
16148,651
16149,627
16150,567
16151,605
16152,501
16153,359
16154,283
16155,191
16156,219
16157,192
16158,145
16159,123
16160,107
16161,69
16162,47
16163,10
16164,11
16165,18
16166,67
16167,118
16168,272
16169,405
16170,504
16171,585
16172,686
16173,653
16174,724
16175,653
16176,493
16177,405
16178,277
16179,199
16180,170
16181,133
16182,108
16183,48
16184,29
16185,19
16186,3
16187,3
16188,23
16189,70
16190,263
16191,540
16192,397
16193,265
16194,367
16195,419
16196,419
16197,444
16198,382
16199,434
16200,596
16201,551
16202,352
16203,303
16204,154
16205,111
16206,62
16207,22
16208,4
16209,11
16210,5
16211,9
16212,18
16213,50
16214,107
16215,211
16216,110
16217,94
16218,155
16219,196
16220,218
16221,202
16222,216
16223,309
16224,608
16225,559
16226,356
16227,223
16228,187
16229,135
16230,84
16231,24
16232,12
16233,1
16234,5
16235,5
16236,38
16237,146
16238,415
16239,691
16240,332
16241,171
16242,151
16243,240
16244,214
16245,181
16246,260
16247,320
16248,583
16249,567
16250,396
16251,266
16252,212
16253,172
16254,87
16255,33
16256,15
16257,7
16258,1
16259,4
16260,37
16261,147
16262,410
16263,646
16264,323
16265,152
16266,166
16267,212
16268,216
16269,200
16270,216
16271,342
16272,563
16273,573
16274,386
16275,284
16276,223
16277,152
16278,124
16279,64
16280,20
16281,8
16282,5
16283,4
16284,35
16285,129
16286,367
16287,711
16288,351
16289,198
16290,217
16291,289
16292,277
16293,250
16294,266
16295,382
16296,580
16297,505
16298,332
16299,227
16300,178
16301,162
16302,128
16303,105
16304,87
16305,49
16306,21
16307,7
16308,11
16309,21
16310,78
16311,168
16312,248
16313,320
16314,422
16315,475
16316,524
16317,555
16318,548
16319,468
16320,402
16321,270
16322,252
16323,171
16324,138
16325,144
16326,132
16327,128
16328,95
16329,73
16330,45
16331,12
16332,11
16333,15
16334,42
16335,119
16336,204
16337,329
16338,358
16339,441
16340,446
16341,427
16342,406
16343,371
16344,279
16345,276
16346,210
16347,129
16348,110
16349,74
16350,58
16351,27
16352,18
16353,5
16354,1
16355,11
16356,38
16357,131
16358,386
16359,663
16360,278
16361,139
16362,196
16363,241
16364,250
16365,216
16366,256
16367,379
16368,619
16369,579
16370,405
16371,258
16372,202
16373,112
16374,73
16375,28
16376,12
16377,4
16378,1
16379,5
16380,33
16381,148
16382,418
16383,665
16384,325
16385,175
16386,204
16387,313
16388,266
16389,223
16390,286
16391,394
16392,589
16393,550
16394,383
16395,234
16396,156
16397,121
16398,82
16399,25
16400,13
16401,7
16402,1
16403,9
16404,28
16405,100
16406,272
16407,551
16408,365
16409,171
16410,240
16411,343
16412,364
16413,412
16414,449
16415,469
16416,373
16417,310
16418,242
16419,135
16420,104
16421,87
16422,56
16423,45
16424,41
16425,17
16426,5
16427,2
16428,7
16429,16
16430,55
16431,97
16432,118
16433,218
16434,231
16435,261
16436,268
16437,220
16438,228
16439,181
16440,108
16441,69
16442,43
16443,51
16444,45
16445,43
16446,35
16447,31
16448,12
16449,4
16450,0
16451,3
16452,9
16453,19
16454,76
16455,93
16456,112
16457,201
16458,250
16459,378
16460,424
16461,435
16462,447
16463,357
16464,300
16465,207
16466,153
16467,141
16468,97
16469,78
16470,66
16471,41
16472,20
16473,32
16474,11
16475,3
16476,3
16477,10
16478,25
16479,62
16480,122
16481,142
16482,186
16483,199
16484,225
16485,207
16486,198
16487,170
16488,126
16489,145
16490,83
16491,58
16492,75
16493,76
16494,57
16495,34
16496,35
16497,28
16498,7
16499,1
16500,2
16501,10
16502,20
16503,33
16504,96
16505,139
16506,204
16507,202
16508,195
16509,203
16510,245
16511,228
16512,181
16513,141
16514,126
16515,118
16516,63
16517,61
16518,40
16519,22
16520,9
16521,4
16522,4
16523,9
16524,41
16525,123
16526,364
16527,637
16528,285
16529,146
16530,129
16531,209
16532,216
16533,227
16534,229
16535,346
16536,553
16537,521
16538,370
16539,276
16540,180
16541,103
16542,64
16543,25
16544,5
16545,4
16546,3
16547,5
16548,31
16549,99
16550,293
16551,500
16552,267
16553,56
16554,65
16555,76
16556,76
16557,94
16558,155
16559,257
16560,527
16561,482
16562,350
16563,232
16564,185
16565,97
16566,67
16567,23
16568,11
16569,0
16570,2
16571,3
16572,38
16573,136
16574,409
16575,692
16576,322
16577,160
16578,146
16579,208
16580,214
16581,176
16582,179
16583,325
16584,563
16585,542
16586,387
16587,262
16588,222
16589,154
16590,77
16591,28
16592,15
16593,6
16594,6
16595,41
16596,120
16597,361
16598,679
16599,298
16600,177
16601,163
16602,236
16603,223
16604,187
16605,220
16606,370
16607,561
16608,537
16609,344
16610,252
16611,207
16612,150
16613,129
16614,52
16615,18
16616,11
16617,3
16618,2
16619,39
16620,105
16621,351
16622,729
16623,330
16624,168
16625,200
16626,267
16627,261
16628,250
16629,295
16630,404
16631,582
16632,508
16633,376
16634,244
16635,182
16636,162
16637,109
16638,107
16639,68
16640,49
16641,14
16642,4
16643,12
16644,27
16645,63
16646,144
16647,193
16648,256
16649,392
16650,446
16651,509
16652,479
16653,484
16654,443
16655,319
16656,296
16657,248
16658,197
16659,157
16660,146
16661,125
16662,116
16663,93
16664,73
16665,24
16666,6
16667,7
16668,16
16669,31
16670,92
16671,172
16672,292
16673,355
16674,520
16675,430
16676,473
16677,417
16678,443
16679,302
16680,202
16681,173
16682,153
16683,98
16684,95
16685,50
16686,20
16687,12
16688,9
16689,7
16690,4
16691,37
16692,137
16693,395
16694,731
16695,307
16696,135
16697,233
16698,268
16699,321
16700,259
